ENSG00000282787	RP11-151A10.3
ENSG00000074211	PPP2R2C
ENSG00000281756	C2-AS1
ENSG00000268050	RP11-247A12.8
ENSG00000129450	SIGLEC9
ENSG00000274251	CTC-1337H24.3
ENSG00000167772	ANGPTL4
ENSG00000266389	CTB-41I6.1
ENSG00000153495	TEX29
ENSG00000174529	TMEM81
ENSG00000100218	RSPH14
ENSG00000178562	CD28
ENSG00000126822	PLEKHG3
ENSG00000174898	CATSPERD
ENSG00000253190	AC084082.3
ENSG00000137727	ARHGAP20
ENSG00000091181	IL5RA
ENSG00000179284	DAND5
ENSG00000101440	ASIP
ENSG00000258644	SYNJ2BP-COX16
ENSG00000196071	OR2L13
ENSG00000227374	RP11-109A6.3
ENSG00000229388	RP11-442N24__B.1
ENSG00000105278	ZFR2
ENSG00000104848	KCNA7
ENSG00000227421	RP11-476B1.1
ENSG00000165349	SLC7A3
ENSG00000250899	RP11-253E3.3
ENSG00000268355	AC006129.1
ENSG00000163638	ADAMTS9
ENSG00000197114	ZGPAT
ENSG00000166111	SVOP
ENSG00000229961	RP11-71G12.1
ENSG00000246394	RP11-386I8.6
ENSG00000237775	DDR1-AS1
ENSG00000238260	RP11-46F15.2
ENSG00000277938	RP5-965G21.3
ENSG00000273176	RP3-510H16.3
ENSG00000249096	RP11-290F5.1
ENSG00000172201	ID4
ENSG00000166343	MSS51
ENSG00000271155	RP11-435O5.5
ENSG00000274987	RP11-295I5.3
ENSG00000254846	RP11-203M5.2
ENSG00000271964	RP11-415F23.2
ENSG00000253389	RP11-930P14.1
ENSG00000261087	KB-1460A1.5
ENSG00000164411	GJB7
ENSG00000181626	ANKRD62
ENSG00000152705	CATSPER3
ENSG00000277007	RP11-392O17.2
ENSG00000151715	TMEM45B
ENSG00000064489	BORCS8-MEF2B
ENSG00000216863	LY86-AS1
ENSG00000228839	PIK3IP1-AS1
ENSG00000232934	RP11-324O2.3
ENSG00000211956	IGHV4-34
ENSG00000115423	DNAH6
ENSG00000233862	AC016907.3
ENSG00000015413	DPEP1
ENSG00000272732	RP5-1159O4.2
ENSG00000162877	PM20D1
ENSG00000242791	RP11-651P23.5
ENSG00000182759	MAFA
ENSG00000178093	TSSK6
ENSG00000173110	HSPA6
ENSG00000183196	CHST6
ENSG00000174804	FZD4
ENSG00000271931	RP11-63L7.5
ENSG00000163449	TMEM169
ENSG00000211966	IGHV5-51
ENSG00000177692	DNAJC28
ENSG00000232347	RP11-488L18.8
ENSG00000205572	SERF1B
ENSG00000140832	MARVELD3
ENSG00000130558	OLFM1
ENSG00000187144	SPATA21
ENSG00000272720	CTA-228A9.3
ENSG00000107779	BMPR1A
ENSG00000109832	DDX25
ENSG00000188522	FAM83G
ENSG00000272742	CTB-43P18.1
ENSG00000279342	AP000866.1
ENSG00000176399	DMRTA1
ENSG00000171051	FPR1
ENSG00000125462	C1orf61
ENSG00000239791	AC002310.7
ENSG00000259788	RP11-359K18.3
ENSG00000214803	RP11-37N22.1
ENSG00000196167	COLCA1
ENSG00000278601	RP11-348N5.9
ENSG00000267364	RP11-47L3.1
ENSG00000125931	CITED1
ENSG00000188056	TREML4
ENSG00000176563	CNTD1
ENSG00000186652	PRG2
ENSG00000267123	CTD-2357A8.3
ENSG00000260921	RP11-989E6.8
ENSG00000178187	ZNF454
ENSG00000263293	THCAT158
ENSG00000124391	IL17C
ENSG00000261147	RP11-697E2.6
ENSG00000248643	RBM14-RBM4
ENSG00000279210	RP4-593C16.4
ENSG00000134571	MYBPC3
ENSG00000182853	VMO1
ENSG00000253174	RP11-360L9.7
ENSG00000186994	KANK3
ENSG00000182747	SLC35D3
ENSG00000257410	RP11-2H8.2
ENSG00000174672	BRSK2
ENSG00000004799	PDK4
ENSG00000065717	TLE2
ENSG00000273381	RP11-305L7.7
ENSG00000104938	CLEC4M
ENSG00000166833	NAV2
ENSG00000236334	PPIAL4G
ENSG00000115556	PLCD4
ENSG00000203593	RP5-1096D14.6
ENSG00000101213	PTK6
ENSG00000163645	ERICH6
ENSG00000235423	RP11-282O18.3
ENSG00000266598	RP11-583F2.5
ENSG00000260876	LINC01229
ENSG00000224424	PRKAR2A-AS1
ENSG00000187905	LRRC74B
ENSG00000137809	ITGA11
ENSG00000250714	RP11-1149O23.4
ENSG00000239801	DENND6A-AS1
ENSG00000211644	IGLV1-51
ENSG00000230641	USP12-AS2
ENSG00000276180	HIST1H4I
ENSG00000129595	EPB41L4A
ENSG00000173482	PTPRM
ENSG00000099250	NRP1
ENSG00000048342	CC2D2A
ENSG00000114638	UPK1B
ENSG00000273428	RP4-539M6.22
ENSG00000249085	CTD-2631K10.1
ENSG00000261367	RP11-455F5.4
ENSG00000272836	RP3-402G11.27
ENSG00000157315	TMED6
ENSG00000230534	RP11-297A16.2
ENSG00000135835	KIAA1614
ENSG00000253485	PCDHGA5
ENSG00000242950	ERVW-1
ENSG00000228835	AC012123.1
ENSG00000272305	RP11-894J14.5
ENSG00000243224	RP5-1157M23.2
ENSG00000179761	PIPOX
ENSG00000181847	TIGIT
ENSG00000249679	RP11-279O9.4
ENSG00000203620	RP11-84A19.2
ENSG00000073712	FERMT2
ENSG00000166450	PRTG
ENSG00000254452	RP11-867G23.4
ENSG00000211662	IGLV3-21
ENSG00000249375	CASC11
ENSG00000214650	RP11-83B20.1
ENSG00000276166	CTD-2600O9.2
ENSG00000259793	RP11-400N9.1
ENSG00000276345	AC004556.1
ENSG00000143185	XCL2
ENSG00000161381	PLXDC1
ENSG00000163600	ICOS
ENSG00000007402	CACNA2D2
ENSG00000154025	SLC5A10
ENSG00000232656	IDI2-AS1
ENSG00000267277	CTD-2342J14.6
ENSG00000272343	RP11-140I16.3
ENSG00000251143	RP11-849H4.4
ENSG00000242371	IGKV1-39
ENSG00000260646	LA16c-385E7.1
ENSG00000228817	BACH1-IT2
ENSG00000169495	HTRA4
ENSG00000111077	TNS2
ENSG00000072952	MRVI1
ENSG00000271427	RP11-188D8.1
ENSG00000255118	RP11-703H8.7
ENSG00000164530	PI16
ENSG00000228113	AC003991.3
ENSG00000270024	C8orf44-SGK3
ENSG00000281741	AC241377.2
ENSG00000260807	RP11-161M6.2
ENSG00000233208	LINC00642
ENSG00000198682	PAPSS2
ENSG00000282876	RP1-138B7.7
ENSG00000273153	RP11-406H21.2
ENSG00000266709	RP11-214O1.2
ENSG00000267469	AC005944.2
ENSG00000281691	RBM5-AS1
ENSG00000196391	ZNF774
ENSG00000143632	ACTA1
ENSG00000230667	SETSIP
ENSG00000179431	FJX1
ENSG00000111490	TBC1D30
ENSG00000116991	SIPA1L2
ENSG00000100101	RP1-37E16.12
ENSG00000266918	RP11-798G7.8
ENSG00000257086	RP11-783K16.13
ENSG00000271751	RP11-110I1.14
ENSG00000253731	PCDHGA6
ENSG00000167889	MGAT5B
ENSG00000255471	RP11-736K20.5
ENSG00000104435	STMN2
ENSG00000272750	RP11-378J18.8
ENSG00000242659	RP11-271C24.2
ENSG00000231265	TRERNA1
ENSG00000189051	RNF222
ENSG00000276727	RP11-123K3.9
ENSG00000272662	RP11-190C22.8
ENSG00000262227	RP5-1050D4.5
ENSG00000211663	IGLV3-19
ENSG00000266947	RP11-799D4.4
ENSG00000154099	DNAAF1
ENSG00000247735	CTD-2574D22.2
ENSG00000109047	RCVRN
ENSG00000261653	RP11-21L1.1
ENSG00000268472	RP11-356J5.13
ENSG00000211950	IGHV1-24
ENSG00000007314	SCN4A
ENSG00000229896	RP11-456H18.2
ENSG00000253490	AC145110.1
ENSG00000166923	GREM1
ENSG00000265399	RP13-270P17.2
ENSG00000269549	RP3-461P17.10
ENSG00000272217	XXbac-BPG157A10.21
ENSG00000105767	CADM4
ENSG00000141086	CTRL
ENSG00000258752	RP11-356K23.1
ENSG00000269242	CTD-2192J16.22
ENSG00000170961	HAS2
ENSG00000271941	RP11-188P20.3
ENSG00000108576	SLC6A4
ENSG00000272037	KB-431C1.5
ENSG00000274443	C8orf89
ENSG00000167414	GNG8
ENSG00000232618	RP11-439L18.1
ENSG00000161652	IZUMO2
ENSG00000135094	SDS
ENSG00000261177	RP11-805I24.1
ENSG00000254340	RP11-10A14.3
ENSG00000260735	RP11-72I8.1
ENSG00000180914	OXTR
ENSG00000267439	AC002398.11
ENSG00000188064	WNT7B
ENSG00000215910	C1orf167
ENSG00000176920	FUT2
ENSG00000235298	RP11-575L7.8
ENSG00000274750	HIST1H3E
ENSG00000152503	TRIM36
ENSG00000282317	RP11-173A6.3
ENSG00000225342	AC079630.4
ENSG00000164867	NOS3
ENSG00000283078	RP11-11M20.4
ENSG00000270953	RP11-2E11.9
ENSG00000182308	DCAF4L1
ENSG00000203635	AC144450.2
ENSG00000167207	NOD2
ENSG00000211445	GPX3
ENSG00000260886	TAT-AS1
ENSG00000250493	RP11-640N11.2
ENSG00000156475	PPP2R2B
ENSG00000273816	RP11-85B7.5
ENSG00000129221	AIPL1
ENSG00000074219	TEAD2
ENSG00000280620	SCAANT1
ENSG00000243466	IGKV1-5
ENSG00000237489	LINC00959
ENSG00000229931	RP1-151F17.1
ENSG00000259536	RP11-111A22.1
ENSG00000213901	SLC23A3
ENSG00000169744	LDB2
ENSG00000259113	RP11-406H23.2
ENSG00000260025	RP11-490M8.1
ENSG00000176046	NUPR1
ENSG00000122548	KIAA0087
ENSG00000171246	NPTX1
ENSG00000277117	CH507-9B2.1
ENSG00000255237	RP13-317D12.3
ENSG00000169116	PARM1
ENSG00000139914	FITM1
ENSG00000233452	STXBP5-AS1
ENSG00000134757	DSG3
ENSG00000169258	GPRIN1
ENSG00000138061	CYP1B1
ENSG00000095777	MYO3A
ENSG00000089012	SIRPG
ENSG00000153237	CCDC148
ENSG00000167693	NXN
ENSG00000257023	RP11-268P4.4
ENSG00000160233	LRRC3
ENSG00000185920	PTCH1
ENSG00000272043	RP11-44N11.3
ENSG00000267325	LINC01415
ENSG00000224397	LINC01272
ENSG00000235795	RP11-421L21.2
ENSG00000267231	AC005786.5
ENSG00000224478	RP11-13P5.1
ENSG00000060140	STYK1
ENSG00000276136	RP11-50I19.2
ENSG00000144810	COL8A1
ENSG00000152495	CAMK4
ENSG00000259274	CTD-2501E16.2
ENSG00000262413	RP11-498C9.3
ENSG00000231806	PCAT7
ENSG00000256576	RP13-977J11.2
ENSG00000258891	RP5-1021I20.5
ENSG00000270091	RP11-78O7.2
ENSG00000133636	NTS
ENSG00000251364	CTD-2516F10.2
ENSG00000247095	MIR210HG
ENSG00000089163	SIRT4
ENSG00000273521	RP11-45A17.4
ENSG00000181036	FCRL6
ENSG00000165810	BTNL9
ENSG00000263603	CTD-2349P21.5
ENSG00000164500	C7orf72
ENSG00000279085	CTA-243E7.4
ENSG00000182463	TSHZ2
ENSG00000164920	OSR2
ENSG00000235097	LINC00330
ENSG00000260230	FRRS1L
ENSG00000198881	ASB12
ENSG00000245156	RP11-867G23.3
ENSG00000211934	IGHV1-2
ENSG00000247970	RP11-543C4.1
ENSG00000198142	SOWAHC
ENSG00000206579	XKR4
ENSG00000223821	RP11-505P4.6
ENSG00000224184	MIR3681HG
ENSG00000155749	ALS2CR12
ENSG00000260992	DOCK9-AS2
ENSG00000107562	CXCL12
ENSG00000128886	ELL3
ENSG00000165066	NKX6-3
ENSG00000083067	TRPM3
ENSG00000228548	ITPKB-AS1
ENSG00000226508	AC104655.3
ENSG00000245685	AF146191.4
ENSG00000146122	DAAM2
ENSG00000153531	ADPRHL1
ENSG00000245164	LINC00861
ENSG00000117791	MARC2
ENSG00000174990	CA5A
ENSG00000279345	RP3-522J7.7
ENSG00000113263	ITK
ENSG00000179673	RPRML
ENSG00000069702	TGFBR3
ENSG00000116661	FBXO2
ENSG00000189350	FAM179A
ENSG00000186862	PDZD7
ENSG00000231105	RP5-1071N3.1
ENSG00000126890	CTAG2
ENSG00000140795	MYLK3
ENSG00000259071	RP11-247L20.4
ENSG00000258227	CLEC5A
ENSG00000162444	RBP7
ENSG00000264448	RP3-388N13.5
ENSG00000106565	TMEM176B
ENSG00000211648	IGLV1-47
ENSG00000057704	TMCC3
ENSG00000070019	GUCY2C
ENSG00000197405	C5AR1
ENSG00000135631	RAB11FIP5
ENSG00000215241	RP11-266K4.9
ENSG00000117215	PLA2G2D
ENSG00000273394	RP11-255E6.6
ENSG00000151240	DIP2C
ENSG00000116106	EPHA4
ENSG00000270882	HIST2H4A
ENSG00000236404	VLDLR-AS1
ENSG00000253172	CTC-209H22.3
ENSG00000146215	CRIP3
ENSG00000273565	CTD-3075F15.1
ENSG00000175985	PLEKHD1
ENSG00000111087	GLI1
ENSG00000143882	ATP6V1C2
ENSG00000256633	RP11-169D4.2
ENSG00000232118	BACH1-AS1
ENSG00000231953	RP4-706G24.1
ENSG00000160224	AIRE
ENSG00000262580	RP11-334C17.5
ENSG00000273106	RP11-559M23.1
ENSG00000165923	AGBL2
ENSG00000181045	SLC26A11
ENSG00000248905	FMN1
ENSG00000171724	VAT1L
ENSG00000181631	P2RY13
ENSG00000159208	CIART
ENSG00000163362	C1orf106
ENSG00000278932	bP-21264C1.2
ENSG00000233791	LINC01136
ENSG00000103888	CEMIP
ENSG00000166341	DCHS1
ENSG00000118369	USP35
ENSG00000140279	DUOX2
ENSG00000245482	RP11-847H18.2
ENSG00000173275	ZNF449
ENSG00000225914	XXbac-BPG154L12.4
ENSG00000204934	ATP6V0E2-AS1
ENSG00000237054	PRMT5-AS1
ENSG00000172000	ZNF556
ENSG00000184916	JAG2
ENSG00000147912	FBXO10
ENSG00000100985	MMP9
ENSG00000248445	SEMA6A-AS1
ENSG00000260220	CCDC187
ENSG00000259251	RP11-643M14.1
ENSG00000101188	NTSR1
ENSG00000227258	SMIM2-AS1
ENSG00000072182	ASIC4
ENSG00000275569	RP11-930O11.3
ENSG00000165995	CACNB2
ENSG00000226659	RP11-137H2.4
ENSG00000273062	RP11-428K3.1
ENSG00000239857	GET4
ENSG00000161509	GRIN2C
ENSG00000129474	AJUBA
ENSG00000162913	C1orf145
ENSG00000211937	IGHV2-5
ENSG00000236609	ZNF853
ENSG00000159588	CCDC17
ENSG00000135083	CCNJL
ENSG00000147206	NXF3
ENSG00000272192	CTD-2532N20.1
ENSG00000100024	UPB1
ENSG00000147488	ST18
ENSG00000271895	RP4-635E18.8
ENSG00000277151	RP11-380B4.3
ENSG00000147570	DNAJC5B
ENSG00000124785	NRN1
ENSG00000135547	HEY2
ENSG00000105641	SLC5A5
ENSG00000265787	CYP4F35P
ENSG00000249574	AC226118.1
ENSG00000124657	OR2B6
ENSG00000104953	TLE6
ENSG00000167103	PIP5KL1
ENSG00000214954	LRRC69
ENSG00000176979	TRIM60
ENSG00000237851	RP1-67K17.4
ENSG00000137285	TUBB2B
ENSG00000150627	WDR17
ENSG00000277463	CTD-3035K23.6
ENSG00000120457	KCNJ5
ENSG00000275491	RP5-1009E24.8
ENSG00000244198	RP4-545C24.1
ENSG00000258982	RP11-638I2.4
ENSG00000239951	IGKV3-20
ENSG00000100292	HMOX1
ENSG00000196338	NLGN3
ENSG00000225855	RUSC1-AS1
ENSG00000281392	LINC00506
ENSG00000231621	AC013264.2
ENSG00000248544	CTB-47B11.3
ENSG00000279833	RP4-742C19.13
ENSG00000204815	TTC25
ENSG00000171992	SYNPO
ENSG00000242252	BGLAP
ENSG00000274561	RP11-147L13.12
ENSG00000272248	RP3-406P24.4
ENSG00000130368	MAS1
ENSG00000167618	LAIR2
ENSG00000117281	CD160
ENSG00000246223	LINC01550
ENSG00000253535	RP11-624C23.1
ENSG00000227741	RP11-536C5.7
ENSG00000279467	KB-1125A3.12
ENSG00000154319	FAM167A
ENSG00000211946	IGHV3-20
ENSG00000254427	RP11-430H10.1
ENSG00000277855	RP11-154H23.4
ENSG00000183248	PRR36
ENSG00000224610	RP11-265P11.1
ENSG00000179057	IGSF22
ENSG00000100385	IL2RB
ENSG00000267062	CTD-2659N19.10
ENSG00000227036	LINC00511
ENSG00000251417	RP11-1348G14.4
ENSG00000272844	RP11-484K9.4
ENSG00000134121	CHL1
ENSG00000131477	RAMP2
ENSG00000269886	RP11-266J6.2
ENSG00000146267	FAXC
ENSG00000188738	FSIP2
ENSG00000155966	AFF2
ENSG00000197093	GAL3ST4
ENSG00000096696	DSP
ENSG00000151276	MAGI1
ENSG00000278276	RP3-324O17.8
ENSG00000142233	NTN5
ENSG00000154556	SORBS2
ENSG00000224614	TNK2-AS1
ENSG00000196366	C9orf163
ENSG00000188833	ENTPD8
ENSG00000162461	SLC25A34
ENSG00000271914	RP4-789D17.5
ENSG00000260179	RP5-902P8.12
ENSG00000196664	TLR7
ENSG00000274286	ADRA2B
ENSG00000196793	ZNF239
ENSG00000272690	RP11-803B1.8
ENSG00000169213	RAB3B
ENSG00000236833	AC024560.2
ENSG00000070388	FGF22
ENSG00000134013	LOXL2
ENSG00000249736	RP11-83M16.5
ENSG00000176681	LRRC37A
ENSG00000162494	LRRC38
ENSG00000170509	HSD17B13
ENSG00000113088	GZMK
ENSG00000104490	NCALD
ENSG00000250366	TUNAR
ENSG00000257831	RP11-596D21.1
ENSG00000227220	RP11-69I8.3
ENSG00000105784	RUNDC3B
ENSG00000163155	LYSMD1
ENSG00000271788	CTD-2201E18.5
ENSG00000187961	KLHL17
ENSG00000268292	AC006547.15
ENSG00000144712	CAND2
ENSG00000233237	LINC00472
ENSG00000203650	LINC01285
ENSG00000137962	ARHGAP29
ENSG00000196361	ELAVL3
ENSG00000163508	EOMES
ENSG00000150556	LYPD6B
ENSG00000157890	MEGF11
ENSG00000005884	ITGA3
ENSG00000260977	RP11-333I13.1
ENSG00000237989	AP001046.5
ENSG00000225032	RP11-228B15.4
ENSG00000253408	RP11-231D20.2
ENSG00000244219	GS1-259H13.2
ENSG00000261216	RP11-166B2.5
ENSG00000144460	NYAP2
ENSG00000273002	RP11-336K24.12
ENSG00000223969	AC002456.2
ENSG00000204634	TBC1D8
ENSG00000151164	RAD9B
ENSG00000240710	RP11-430C7.4
ENSG00000102057	KCND1
ENSG00000211653	IGLV1-40
ENSG00000183960	KCNH8
ENSG00000238058	RP11-432J22.2
ENSG00000267033	CTD-2562J15.4
ENSG00000106089	STX1A
ENSG00000088387	DOCK9
ENSG00000279927	CTA-212A2.4
ENSG00000251432	RP11-420A23.1
ENSG00000232613	AC007386.4
ENSG00000230542	LINC00102
ENSG00000272588	RP11-440L14.4
ENSG00000233912	AC026202.3
ENSG00000233410	LINC01222
ENSG00000246526	RP11-539L10.2
ENSG00000225850	RP11-452K12.4
ENSG00000261141	RP11-303E16.5
ENSG00000269148	AC092301.3
ENSG00000185668	POU3F1
ENSG00000135127	CCDC64
ENSG00000176485	PLA2G16
ENSG00000166323	C11orf65
ENSG00000197291	RAMP2-AS1
ENSG00000179954	SSC5D
ENSG00000140961	OSGIN1
ENSG00000140009	ESR2
ENSG00000182902	SLC25A18
ENSG00000172548	NIPAL4
ENSG00000092068	SLC7A8
ENSG00000249502	AC006160.5
ENSG00000242349	NPPA-AS1
ENSG00000134460	IL2RA
ENSG00000228302	RP11-186N15.3
ENSG00000136383	ALPK3
ENSG00000166317	SYNPO2L
ENSG00000111962	UST
ENSG00000273312	RP11-425A6.5
ENSG00000076356	PLXNA2
ENSG00000266990	LLNLR-284B4.2
ENSG00000110446	SLC15A3
ENSG00000205710	C17orf107
ENSG00000259134	LINC00924
ENSG00000185189	NRBP2
ENSG00000235703	LINC00894
ENSG00000261519	RP11-403P17.4
ENSG00000131355	ADGRE3
ENSG00000184545	DUSP8
ENSG00000272085	RP11-542A14.2
ENSG00000129646	QRICH2
ENSG00000261200	RP11-989E6.10
ENSG00000088808	PPP1R13B
ENSG00000204060	FOXO6
ENSG00000266473	RP11-401F2.3
ENSG00000163995	ABLIM2
ENSG00000227517	LINC01483
ENSG00000257221	RP11-689B22.2
ENSG00000127152	BCL11B
ENSG00000126217	MCF2L
ENSG00000167037	SGSM1
ENSG00000263155	MYZAP
ENSG00000147799	ARHGAP39
ENSG00000134962	KLB
ENSG00000263958	RP11-676J15.1
ENSG00000247765	RP11-32B5.7
ENSG00000167723	TRPV3
ENSG00000121653	MAPK8IP1
ENSG00000197249	SERPINA1
ENSG00000197880	MDS2
ENSG00000188277	C15orf62
ENSG00000175544	CABP4
ENSG00000249738	AC008697.1
ENSG00000104368	PLAT
ENSG00000161270	NPHS1
ENSG00000241351	IGKV3-11
ENSG00000198947	DMD
ENSG00000267731	RP11-147L13.8
ENSG00000139610	CELA1
ENSG00000203812	HIST2H2AA3
ENSG00000166741	NNMT
ENSG00000114646	CSPG5
ENSG00000273173	SNURF
ENSG00000272247	RP11-379F4.9
ENSG00000254860	TMEM9B-AS1
ENSG00000268635	RP11-739B23.1
ENSG00000154783	FGD5
ENSG00000262528	LA16c-349E10.1
ENSG00000111052	LIN7A
ENSG00000131400	NAPSA
ENSG00000197044	ZNF441
ENSG00000267226	RP11-126O1.5
ENSG00000259003	AE000662.92
ENSG00000163689	C3orf67
ENSG00000160145	KALRN
ENSG00000167074	TEF
ENSG00000171611	PTCRA
ENSG00000148948	LRRC4C
ENSG00000137507	LRRC32
ENSG00000283031	RP11-557N21.1
ENSG00000162188	GNG3
ENSG00000274259	XXbac-BPG294E21.9
ENSG00000236682	AC068282.3
ENSG00000105877	DNAH11
ENSG00000253701	AL928768.3
ENSG00000149380	P4HA3
ENSG00000118257	NRP2
ENSG00000141665	FBXO15
ENSG00000267397	RP11-873E20.1
ENSG00000127561	SYNGR3
ENSG00000105889	STEAP1B
ENSG00000147852	VLDLR
ENSG00000122035	RASL11A
ENSG00000172458	IL17D
ENSG00000120049	KCNIP2
ENSG00000260352	CTD-2288F12.1
ENSG00000050327	ARHGEF5
ENSG00000164125	FAM198B
ENSG00000240303	ACAD11
ENSG00000233230	AC079807.2
ENSG00000177374	HIC1
ENSG00000176714	CCDC121
ENSG00000106927	AMBP
ENSG00000197385	ZNF860
ENSG00000236140	RP11-89F3.2
ENSG00000178075	GRAMD1C
ENSG00000132669	RIN2
ENSG00000197153	HIST1H3J
ENSG00000242474	AC093627.9
ENSG00000272563	RP11-480C16.1
ENSG00000227234	SPANXB1
ENSG00000154040	CABYR
ENSG00000204277	RP11-219G17.4
ENSG00000188322	SBK1
ENSG00000239415	AP001469.9
ENSG00000112139	MDGA1
ENSG00000233008	RP11-475O6.1
ENSG00000272644	RP11-33O4.1
ENSG00000184497	TMEM255B
ENSG00000260898	ADPGK-AS1
ENSG00000056558	TRAF1
ENSG00000211649	IGLV7-46
ENSG00000226029	RP4-798A10.2
ENSG00000086967	MYBPC2
ENSG00000184005	ST6GALNAC3
ENSG00000148204	CRB2
ENSG00000154734	ADAMTS1
ENSG00000248323	LUCAT1
ENSG00000137860	SLC28A2
ENSG00000267737	AC061992.2
ENSG00000198178	CLEC4C
ENSG00000172508	CARNS1
ENSG00000260790	RP11-21M24.2
ENSG00000180787	ZFP3
ENSG00000166736	HTR3A
ENSG00000205213	LGR4
ENSG00000225265	TAF1A-AS1
ENSG00000184451	CCR10
ENSG00000081923	ATP8B1
ENSG00000163519	TRAT1
ENSG00000048462	TNFRSF17
ENSG00000281560	LSINCT5
ENSG00000174607	UGT8
ENSG00000135253	KCP
ENSG00000226780	RP11-38J22.3
ENSG00000211640	IGLV6-57
